auroc,pr_auc,mcc,brier,ece,threshold,model,cohort,prevalence,n_samples
0.5944728912120316,0.23668229915224082,0.11341660673466601,0.27674206199301016,0.33592214776868046,0.4499999999999999,RF_engineered_balanced,study,0.1892814025510472,19051
0.5931299440323464,0.2346998621887294,0.10559075240371499,0.27802252769470215,0.3377235309280931,0.5349999999999999,XGB_engineered_weighted,study,0.1892814025510472,19051
0.5895880700971923,0.23072385349829816,0.10459411482072403,0.27947263464967315,0.3386483348207326,0.5149999999999999,LR_engineered_balanced,study,0.1892814025510472,19051
0.5894249395857808,0.23046316020403523,0.10182998212103644,0.1598331686121201,0.0934041670805715,0.08499999999999999,LR_engineered_calibrated,study,0.1892814025510472,19051
0.5872199170944006,0.22843759733954166,0.10693503159062683,0.2793984642719533,0.3377148933173911,0.4799999999999999,LR_raw_balanced,study,0.1892814025510472,19051
0.5,0.1892814025510472,0.0,0.1892814025510472,0.1892814025510472,0.05,Dummy_most_frequent,study,0.1892814025510472,19051
0.5857300884955752,0.2207448126533655,0.07480726669686603,0.20090689367218834,0.20566552975451444,0.4499999999999999,RF_engineered_balanced,validation,0.17518248175182483,137
0.5813053097345133,0.21855090998841975,0.09975732373823168,0.20200207829475403,0.20647716946410435,0.5349999999999999,XGB_engineered_weighted,validation,0.17518248175182483,137
0.5720870206489677,0.21826176615264392,0.13724744616016746,0.1579065662840788,0.1195302150830452,0.08499999999999999,LR_engineered_calibrated,validation,0.17518248175182483,137
0.5724557522123893,0.2178175448654921,0.13531101179139052,0.204453042968944,0.20851780596452113,0.5149999999999999,LR_engineered_balanced,validation,0.17518248175182483,137
0.549594395280236,0.20867497712599983,0.1100467649476856,0.20592995269512496,0.21435758766994295,0.4799999999999999,LR_raw_balanced,validation,0.17518248175182483,137
0.5,0.17518248175182483,0.0,0.17518248175182483,0.17518248175182483,0.05,Dummy_most_frequent,validation,0.17518248175182483,137
